volume,position,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,y_danceability,y_energy,y_loudness,y_speechiness,y_acousticness,y_instrumentalness,y_liveness,y_valence,y_tempo
27,5,0.568,0.609,-8.23,0.0278,0.497,0.897,0.108,0.53,147.053,0.585,0.344,-11.884,0.0368,0.402,0.000434,0.0758,0.0624,78.728
27,6,0.585,0.344,-11.884,0.0368,0.402,0.000434,0.0758,0.0624,78.728,0.801,0.839,-7.82,0.0747,0.0832,0.872,0.115,0.366,121.997
27,7,0.801,0.839,-7.82,0.0747,0.0832,0.872,0.115,0.366,121.997,0.847,0.891,-8.812,0.0594,0.249,0.905,0.0979,0.436,116.981
27,8,0.847,0.891,-8.812,0.0594,0.249,0.905,0.0979,0.436,116.981,0.73,0.708,-8.41,0.046,0.00189,0.84,0.0899,0.172,123.016
27,9,0.73,0.708,-8.41,0.046,0.00189,0.84,0.0899,0.172,123.016,0.733,0.673,-8.891,0.0391,0.0332,0.807,0.119,0.298,120.028
27,10,0.733,0.673,-8.891,0.0391,0.0332,0.807,0.119,0.298,120.028,0.576,0.801,-6.498,0.0312,0.000223,0.0586,0.099,0.56,116.007
27,11,0.576,0.801,-6.498,0.0312,0.000223,0.0586,0.099,0.56,116.007,0.705,0.524,-9.167,0.0323,0.0628,0.813,0.0888,0.176,106.993
27,12,0.705,0.524,-9.167,0.0323,0.0628,0.813,0.0888,0.176,106.993,0.793,0.438,-11.723,0.0351,0.69,0.92,0.108,0.0412,121.024
26,1,0.36,0.231,-26.701,0.0336,0.995,0.921,0.0878,0.282,104.094,0.706,0.64,-12.578,0.0416,0.103,0.923,0.0915,0.575,121.024
26,2,0.706,0.64,-12.578,0.0416,0.103,0.923,0.0915,0.575,121.024,0.759,0.756,-8.145,0.266,0.0903,2.36e-06,0.265,0.613,87.059
26,3,0.759,0.756,-8.145,0.266,0.0903,2.36e-06,0.265,0.613,87.059,0.655,0.794,-5.872,0.25,0.082,0.0791,0.0457,0.667,187.007
26,4,0.655,0.794,-5.872,0.25,0.082,0.0791,0.0457,0.667,187.007,0.69,0.63,-13.105,0.0417,0.0563,0.866,0.111,0.293,124.983
26,5,0.69,0.63,-13.105,0.0417,0.0563,0.866,0.111,0.293,124.983,0.375,0.626,-6.475,0.0331,0.743,0.154,0.108,0.0657,79.966
26,6,0.375,0.626,-6.475,0.0331,0.743,0.154,0.108,0.0657,79.966,0.624,0.64,-11.273,0.0417,0.155,0.883,0.0653,0.394,117.989
